Date,Open,High,Low,Close,Adj Close ,Volume
"Oct 16, 2024",415.17,416.36,410.48,416.12,414.46,15508900
"Oct 15, 2024",422.18,422.48,415.26,418.74,417.07,18900200
"Oct 14, 2024",417.77,424.04,417.52,419.14,417.47,16653100
"Oct 11, 2024",416.14,417.13,413.25,416.32,414.66,14144900
"Oct 10, 2024",415.23,417.35,413.15,415.84,414.18,13848400
"Oct 9, 2024",415.86,420.38,414.3,417.46,415.79,14974300
"Oct 8, 2024",410.9,415.66,408.17,414.71,413.05,19229300
"Oct 7, 2024",416,417.11,409,409.54,407.9,20919800
"Oct 4, 2024",418.24,419.75,414.97,416.06,414.4,19169700
"Oct 3, 2024",417.63,419.55,414.29,416.54,414.88,13686400
"Oct 2, 2024",422.58,422.82,416.71,417.13,415.46,16582300
"Oct 1, 2024",428.45,428.48,418.81,420.69,419.01,19092900
"Sep 30, 2024",428.21,430.42,425.37,430.3,428.58,16807300
"Sep 27, 2024",431.52,431.85,427.47,428.02,426.31,14896100
"Sep 26, 2024",435.09,435.3,429.13,431.31,429.59,14492000
"Sep 25, 2024",429.83,433.12,428.57,432.11,430.38,13396400
"Sep 24, 2024",433,433.35,426.1,429.17,427.46,17015800
"Sep 23, 2024",434.28,436.46,430.39,433.51,431.78,15128900
"Sep 20, 2024",437.22,439.24,434.22,435.27,433.53,55167100
"Sep 19, 2024",441.23,441.5,436.9,438.69,436.94,21706600
"Sep 18, 2024",435,436.03,430.41,430.81,429.09,18898000
"Sep 17, 2024",440.23,441.85,432.27,435.15,433.41,18874200
"Sep 16, 2024",430.6,433.53,428.22,431.34,429.62,13834700
"Sep 13, 2024",425.83,431.83,425.46,430.59,428.87,15874600
"Sep 12, 2024",423.31,427.37,419.75,427,425.29,17418800
"Sep 11, 2024",415.5,423.99,409.58,423.04,421.35,19266900
"Sep 10, 2024",408.2,416.33,407.7,414.2,412.55,19594300
"Sep 9, 2024",407.24,408.65,402.15,405.72,404.1,15295100
"Sep 6, 2024",409.06,410.65,400.8,401.7,400.1,19609500
"Sep 5, 2024",407.62,413.1,406.13,408.39,406.76,14195500
"Sep 4, 2024",405.91,411.24,404.37,408.9,407.27,15135800
"Sep 3, 2024",417.91,419.88,407.03,409.44,407.8,20313600
"Aug 30, 2024",415.6,417.49,412.13,417.14,415.47,24308300
"Aug 29, 2024",414.94,422.05,410.6,413.12,411.47,17045200
"Aug 28, 2024",414.88,415,407.31,410.6,408.96,14882700
"Aug 27, 2024",412.86,414.36,410.25,413.84,412.19,13492900
"Aug 26, 2024",416.37,417.28,411.34,413.49,411.84,13152800
"Aug 23, 2024",416.98,419.26,412.09,416.79,415.13,18493800
"Aug 22, 2024",424.36,426.79,414.61,415.55,413.89,19361900
"Aug 21, 2024",424.08,426.4,421.72,424.14,422.45,16067300
